Cluster ID,confidence_score,Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2,canonical_Executive Director,canonical_Id,canonical_Phone,canonical_Center Director,canonical_Zip,canonical_IDHS Provider ID,canonical_Agency,canonical_Progmod,canonical_Eearly Head Start Fund,canonical_Director,canonical_CC fund,canonical_Number per Site HS,canonical_Program Name,canonical_Site name,canonical_Website,canonical_ECE Available Programs,canonical_Funded Enrollment,canonical_Column,canonical_Number per Site EHS,canonical_Email Address,canonical_NAEYC Valid Until,canonical_Purple binder service type,canonical_Ounce of Prevention Description,canonical_Program Option,canonical_Head Start Fund,canonical_Column2,canonical_Fax,canonical_Length of Day,canonical_Source,canonical_Neighborhood,canonical_Address,canonical_NAEYC Program Id
189,0.937817901373,0,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Temple / Salvation Army,1 N Ogden Ave ,,2262649,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'1',b'2262649',b'',b'60640',b'',b'',b'no',b'barbara martin',b'',b'no',b'',b'child care',b'salvation army - temple / salvation army',b'no',b'cp',b'salvation army',b'',b'',b'',b'',b'',b'',b'near west side',b'',b'',b'',b'half day/full day',b'cps_early_childhood_portal_scrape.csv',b'near west side',b'1 n ogden',b''
189,0.937817901373,1,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Temple / Salvation Army,1 N Ogden Ave ,,2262649,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'1',b'2262649',b'',b'60640',b'',b'',b'no',b'barbara martin',b'',b'no',b'',b'child care',b'salvation army - temple / salvation army',b'no',b'cp',b'salvation army',b'',b'',b'',b'',b'',b'',b'near west side',b'',b'',b'',b'half day/full day',b'cps_early_childhood_portal_scrape.csv',b'near west side',b'1 n ogden',b''
0,0.934001922607,2,CPS_Early_Childhood_Portal_scrape.csv, National Louis University - Dr. Effie O. Ellis Training Center,10 S Kedzie Ave ,,5339011,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'1227',b'5339011',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'state pre-kindergarten',b'national louis university - dr. effie o. ellis training center',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'half day/full day',b'cps_early_childhood_portal_scrape.csv',b'',b'10 s kedzie ave',b''
0,0.934001922607,3,CPS_Early_Childhood_Portal_scrape.csv, National Louis University - Dr. Effie O. Ellis Training Center,10 S Kedzie Ave ,,5339011,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'1227',b'5339011',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'state pre-kindergarten',b'national louis university - dr. effie o. ellis training center',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'half day/full day',b'cps_early_childhood_portal_scrape.csv',b'',b'10 s kedzie ave',b''
1,0.935658609867,4,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Olive-Harvey College,10001 S Woodlawn Ave ,,2916100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'7056ps(hs collaboration with childcare & prek)',b'5',b'2916100',b'www.ccc.edu',b'60628',b'',b'',b'no',b'tiffany carter',b'',b'yes',b'',b'child care',b'board trustees-city colleges of chicago - olive-harvey college',b'no',b'phyllis daniels-ward',b'board trustees-city colleges of chicago',b'',b'',b'',b'tiffany carter',b'',b'',b'pullman',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'10001 s woodlawn',b''
1,0.935658609867,5,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Olive-Harvey College,10001 S Woodlawn Ave ,,2916100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'7056ps(hs collaboration with childcare & prek)',b'5',b'2916100',b'www.ccc.edu',b'60628',b'',b'',b'no',b'tiffany carter',b'',b'yes',b'',b'child care',b'board trustees-city colleges of chicago - olive-harvey college',b'no',b'phyllis daniels-ward',b'board trustees-city colleges of chicago',b'',b'',b'',b'tiffany carter',b'',b'',b'pullman',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'10001 s woodlawn',b''
2,0.934657990932,6,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'1161',b'9395115',b'www.easterseaslchicago.org',b'60608',b'',b'',b'',b'',b'',b'',b'',b'state pre-kindergarten',b'easter seals society of metropolitan chicago - gilchrist-marchman',b'',b'barbara zawacki',b'easter seals society of metropolitan chicago',b'',b'',b'',b'morayma cancel',b'',b'',b'',b'',b'',b'',b'half day/full day',b'cps_early_childhood_portal_scrape.csv',b'',b'1001 w roosevelt rd',b''
2,0.934657990932,7,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'1161',b'9395115',b'www.easterseaslchicago.org',b'60608',b'',b'',b'',b'',b'',b'',b'',b'state pre-kindergarten',b'easter seals society of metropolitan chicago - gilchrist-marchman',b'',b'barbara zawacki',b'easter seals society of metropolitan chicago',b'',b'',b'',b'morayma cancel',b'',b'',b'',b'',b'',b'',b'half day/full day',b'cps_early_childhood_portal_scrape.csv',b'',b'1001 w roosevelt rd',b''
3,0.934002,8,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Uptown Head Start / Hull House,1020 W Bryn Mawr Ave ,,7695753,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'8',b'7695753',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'child care',b'hull house association - uptown head start / hull house',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'1020 w bryn mawr ave',b''
4,0.934001922607,9,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'478',b'9068600',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'child care',b'hull house association - child dev. central office- hull house cds-homes',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'1030 w van buren st',b''
