Cluster ID,confidence_score,Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2,canonical_Ounce of Prevention Description,canonical_Fax,canonical_Website,canonical_Center Director,canonical_Head Start Fund,canonical_Number per Site EHS,canonical_Neighborhood,canonical_NAEYC Program Id,canonical_Phone,canonical_Length of Day,canonical_Progmod,canonical_NAEYC Valid Until,canonical_CC fund,canonical_Source,canonical_Id,canonical_Number per Site HS,canonical_Program Name,canonical_Address,canonical_Email Address,canonical_IDHS Provider ID,canonical_Column2,canonical_Purple binder service type,canonical_Director,canonical_Column,canonical_Program Option,canonical_Funded Enrollment,canonical_Agency,canonical_Zip,canonical_Site name,canonical_Eearly Head Start Fund,canonical_ECE Available Programs,canonical_Executive Director
1,0.952933940291,0,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Temple / Salvation Army,1 N Ogden Ave ,,2262649,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'no',b'www.usc.salvationarmy.com',b'',b'',b'west englewood',b'',b'2262649',b'half day/full day',b'no',b'lillie denton',b'yes',b'cps_early_childhood_portal_scrape.csv',b'1',b'',b'head start',b'845 w 69th st',b'',b'',b'',b'',b'',b'',b'englewood',b'salvation army',b'',b'60621',b'salvation army - temple / salvation army',b'kelli kemp',b'claudia rowland',b'4121it(ehs)'
1,0.952933940291,1,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Temple / Salvation Army,1 N Ogden Ave ,,2262649,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'no',b'www.usc.salvationarmy.com',b'',b'',b'west englewood',b'',b'2262649',b'half day/full day',b'no',b'lillie denton',b'yes',b'cps_early_childhood_portal_scrape.csv',b'1',b'',b'head start',b'845 w 69th st',b'',b'',b'',b'',b'',b'',b'englewood',b'salvation army',b'',b'60621',b'salvation army - temple / salvation army',b'kelli kemp',b'claudia rowland',b'4121it(ehs)'
2,0.973556339741,2,CPS_Early_Childhood_Portal_scrape.csv, National Louis University - Dr. Effie O. Ellis Training Center,10 S Kedzie Ave ,,5339011,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'',b'',b'5339011',b'half day/full day',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'1227',b'',b'state pre-kindergarten',b'10 s kedzie ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'national louis university - dr. effie o. ellis training center',b'',b'',b''
2,0.973556339741,3,CPS_Early_Childhood_Portal_scrape.csv, National Louis University - Dr. Effie O. Ellis Training Center,10 S Kedzie Ave ,,5339011,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'',b'',b'5339011',b'half day/full day',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'1227',b'',b'state pre-kindergarten',b'10 s kedzie ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'national louis university - dr. effie o. ellis training center',b'',b'',b''
3,0.986074745655,4,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Olive-Harvey College,10001 S Woodlawn Ave ,,2916100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'',b'',b'8507000',b'half day/full day',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'5',b'',b'head start',b'10001 s woodlawn ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'board trustees-city colleges of chicago - truman',b'',b'',b''
3,0.986074745655,5,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Olive-Harvey College,10001 S Woodlawn Ave ,,2916100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'',b'',b'8507000',b'half day/full day',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'5',b'',b'head start',b'10001 s woodlawn ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'board trustees-city colleges of chicago - truman',b'',b'',b''
7,0.978522020838,6,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'no',b'www.easterseaslchicago.org',b'',b'',b'west town',b'',b'9395115',b'half day/full day',b'yes',b'marianne powell',b'yes',b'cps_early_childhood_portal_scrape.csv',b'7',b'',b'head start',b'1001 w roosevelt rd 606',b'',b'',b'',b'',b'',b'',b'roseland',b'easter seals society of metropolitan chicago',b'',b'60628',b'easter seals society of metropolitan chicago - gilchrist-marchman',b'ms. adrienne hamilton',b'barbara zawacki',"b'4249it(child care it center), 7012ps(hs collaboration with c'"
7,0.978522020838,7,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'no',b'www.easterseaslchicago.org',b'',b'',b'west town',b'',b'9395115',b'half day/full day',b'yes',b'marianne powell',b'yes',b'cps_early_childhood_portal_scrape.csv',b'7',b'',b'head start',b'1001 w roosevelt rd 606',b'',b'',b'',b'',b'',b'',b'roseland',b'easter seals society of metropolitan chicago',b'',b'60628',b'easter seals society of metropolitan chicago - gilchrist-marchman',b'ms. adrienne hamilton',b'barbara zawacki',"b'4249it(child care it center), 7012ps(hs collaboration with c'"
8,0.961537946016,8,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Uptown Head Start / Hull House,1020 W Bryn Mawr Ave ,,7695753,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'uptown',b'',b'5613500',b'half day/full day',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'8',b'',b'head start',b'4520 n beacon st',b'',b'',b'child care',b'',b'',b'',b'',b'',b'',b'60640',b'hull house association - uptown west',b'',b'cp',b''
9,0.979143977165,9,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'',b'',b'9068600',b'extended day',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'478',b'',b'child care',b'1030 w van buren st',b'',b'',b'child care',b'',b'',b'',b'',b'',b'',b'60657',b'hull house association - child dev. central office- hull house cds-homes',b'',b'',b''
