Cluster ID,confidence_score,Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2,canonical_Executive Director,canonical_Id,canonical_Phone,canonical_Center Director,canonical_Zip,canonical_IDHS Provider ID,canonical_Agency,canonical_Progmod,canonical_Eearly Head Start Fund,canonical_Director,canonical_CC fund,canonical_Number per Site HS,canonical_Program Name,canonical_Site name,canonical_Website,canonical_ECE Available Programs,canonical_Funded Enrollment,canonical_Column,canonical_Number per Site EHS,canonical_Email Address,canonical_NAEYC Valid Until,canonical_Purple binder service type,canonical_Ounce of Prevention Description,canonical_Program Option,canonical_Head Start Fund,canonical_Column2,canonical_Fax,canonical_Length of Day,canonical_Source,canonical_Neighborhood,canonical_Address,canonical_NAEYC Program Id
0,0.797762453556,0,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Temple / Salvation Army,1 N Ogden Ave ,,2262649,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'1',b'2262649',b'',b'60640',b'',b'',b'no',b'barbara martin',b'',b'no',b'',b'child care',b'salvation army - temple / salvation army',b'no',b'cp',b'salvation army',b'',b'',b'',b'',b'',b'',b'near west side',b'',b'',b'',b'half day/full day',b'cps_early_childhood_portal_scrape.csv',b'near west side',b'1 n ogden',b''
0,0.797762453556,1,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Temple / Salvation Army,1 N Ogden Ave ,,2262649,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'1',b'2262649',b'',b'60640',b'',b'',b'no',b'barbara martin',b'',b'no',b'',b'child care',b'salvation army - temple / salvation army',b'no',b'cp',b'salvation army',b'',b'',b'',b'',b'',b'',b'near west side',b'',b'',b'',b'half day/full day',b'cps_early_childhood_portal_scrape.csv',b'near west side',b'1 n ogden',b''
1,0.78614628315,2,CPS_Early_Childhood_Portal_scrape.csv, National Louis University - Dr. Effie O. Ellis Training Center,10 S Kedzie Ave ,,5339011,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'1227',b'5339011',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'state pre-kindergarten',b'national louis university - dr. effie o. ellis training center',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'half day/full day',b'cps_early_childhood_portal_scrape.csv',b'',b'10 s kedzie ave',b''
1,0.78614628315,3,CPS_Early_Childhood_Portal_scrape.csv, National Louis University - Dr. Effie O. Ellis Training Center,10 S Kedzie Ave ,,5339011,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'1227',b'5339011',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'state pre-kindergarten',b'national louis university - dr. effie o. ellis training center',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'half day/full day',b'cps_early_childhood_portal_scrape.csv',b'',b'10 s kedzie ave',b''
3,0.78614628315,4,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Olive-Harvey College,10001 S Woodlawn Ave ,,2916100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'513',b'2916100',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'child care',b'board trustees-city colleges of chicago - olive-harvey college',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'10001 s woodlawn ave',b''
3,0.78614628315,5,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Olive-Harvey College,10001 S Woodlawn Ave ,,2916100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'513',b'2916100',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'child care',b'board trustees-city colleges of chicago - olive-harvey college',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'10001 s woodlawn ave',b''
4,0.78614628315,6,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'1161',b'9395115',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'state pre-kindergarten',b'easter seals society of metropolitan chicago - gilchrist-marchman',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'half day/full day',b'cps_early_childhood_portal_scrape.csv',b'',b'1001 w roosevelt rd',b''
4,0.78614628315,7,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'1161',b'9395115',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'state pre-kindergarten',b'easter seals society of metropolitan chicago - gilchrist-marchman',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'half day/full day',b'cps_early_childhood_portal_scrape.csv',b'',b'1001 w roosevelt rd',b''
5,0.786146,8,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Uptown Head Start / Hull House,1020 W Bryn Mawr Ave ,,7695753,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'8',b'7695753',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'child care',b'hull house association - uptown head start / hull house',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'1020 w bryn mawr ave',b''
6,0.78614628315,9,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'478',b'9068600',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'child care',b'hull house association - child dev. central office- hull house cds-homes',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'1030 w van buren st',b''
