Cluster ID,confidence_score,Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2,canonical_Website,canonical_Email Address,canonical_Number per Site EHS,canonical_Center Director,canonical_Head Start Fund,canonical_Progmod,canonical_Purple binder service type,canonical_Length of Day,canonical_NAEYC Program Id,canonical_Address,canonical_Site name,canonical_Ounce of Prevention Description,canonical_NAEYC Valid Until,canonical_Source,canonical_Director,canonical_Column2,canonical_Eearly Head Start Fund,canonical_IDHS Provider ID,canonical_Fax,canonical_Number per Site HS,canonical_Agency,canonical_Zip,canonical_Phone,canonical_Id,canonical_Funded Enrollment,canonical_Executive Director,canonical_Program Name,canonical_ECE Available Programs,canonical_CC fund,canonical_Column,canonical_Neighborhood,canonical_Program Option
0,0.756445179383,0,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Temple / Salvation Army,1 N Ogden Ave ,,2262649,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'',b'half day/full day',b'',b'1 n ogden ave',b'salvation army - temple / salvation army',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'child care',b'',b'',b'',b'',b'',b'60607',b'2262649',b'1',b'',b'',b'state pre-kindergarten',b'',b'',b'',b'',b''
0,0.756445179383,1,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Temple / Salvation Army,1 N Ogden Ave ,,2262649,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'',b'half day/full day',b'',b'1 n ogden ave',b'salvation army - temple / salvation army',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'child care',b'',b'',b'',b'',b'',b'60607',b'2262649',b'1',b'',b'',b'state pre-kindergarten',b'',b'',b'',b'',b''
2,0.789244438921,2,CPS_Early_Childhood_Portal_scrape.csv, National Louis University - Dr. Effie O. Ellis Training Center,10 S Kedzie Ave ,,5339011,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'no',b'',b'',b'www.chicagocommons.org',b'',b'no',b'',b'half day/full day',b'',b'10 s kedzie ave',b'national louis university - dr. effie o. ellis training center',b'',b'sandra mcpherson',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'angeles nunez',b'',b'',b'',b'',b'60632',b'5339011',b'2',b'chicago commons association',b'',b'state pre-kindergarten',b'dan valliere',b'yes',b'',b'',b'brighton park'
2,0.789244438921,3,CPS_Early_Childhood_Portal_scrape.csv, National Louis University - Dr. Effie O. Ellis Training Center,10 S Kedzie Ave ,,5339011,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'no',b'',b'',b'www.chicagocommons.org',b'',b'no',b'',b'half day/full day',b'',b'10 s kedzie ave',b'national louis university - dr. effie o. ellis training center',b'',b'sandra mcpherson',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'angeles nunez',b'',b'',b'',b'',b'60632',b'5339011',b'2',b'chicago commons association',b'',b'state pre-kindergarten',b'dan valliere',b'yes',b'',b'',b'brighton park'
4,0.777271270752,4,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Olive-Harvey College,10001 S Woodlawn Ave ,,2916100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'10001 s woodlawn ave',b'board trustees-city colleges of chicago - olive-harvey college',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'child care',b'',b'',b'',b'',b'',b'60628',b'2916100',b'513',b'',b'',b'child care',b'',b'',b'',b'',b''
4,0.777271270752,5,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Olive-Harvey College,10001 S Woodlawn Ave ,,2916100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'10001 s woodlawn ave',b'board trustees-city colleges of chicago - olive-harvey college',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'child care',b'',b'',b'',b'',b'',b'60628',b'2916100',b'513',b'',b'',b'child care',b'',b'',b'',b'',b''
7,0.835616882642,6,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'www.easterseaslchicago.org',b'',b'',b'',b'half day/full day',b'',b'1001 w roosevelt rd',b'easter seals society of metropolitan chicago - gilchrist-marchman',b'',b'morayma cancel',b'cps_early_childhood_portal_scrape.csv',b'',b'child care',b'',b'',b'',b'',b'',b'60608',b'9395115',b'6',b'easter seals society of metropolitan chicago',b'',b'child care',b'barbara zawacki',b'',b'',b'near west side',b''
7,0.835616882642,7,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'www.easterseaslchicago.org',b'',b'',b'',b'half day/full day',b'',b'1001 w roosevelt rd',b'easter seals society of metropolitan chicago - gilchrist-marchman',b'',b'morayma cancel',b'cps_early_childhood_portal_scrape.csv',b'',b'child care',b'',b'',b'',b'',b'',b'60608',b'9395115',b'6',b'easter seals society of metropolitan chicago',b'',b'child care',b'barbara zawacki',b'',b'',b'near west side',b''
9,0.823553621769,8,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Uptown Head Start / Hull House,1020 W Bryn Mawr Ave ,,7695753,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'01/31/13',b'',b'http://www.apcc.org',b'',b'',b'mabarca@apcc-chgo.org',b'extended day',b'',b'1020 w bryn mawr ave',b'hull house association - uptown head start / hull house',b'486804',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'',b'',b'',b'',b'',b'60660',b'7695753',b'8',b'',b'',b'child care',b'',b'',b'',b'',b''
48,0.889334842563,9,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'no',b'',b'',b'',b'',b'no',b'',b'extended day',b'',b'1900 w van buren st',b'board trustees-city colleges of chicago - malcolm x college',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'ereyne weekes',b'',b'',b'',b'',b'60612',b'8507000',b'9',b'board trustees-city colleges of chicago',"b'7025ps (hs collaboration with childcare & prek), 4385ps(chil'",b'child care',b'',b'yes',b'',b'',b'near west side'
