Cluster ID,confidence_score,Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2,canonical_Executive Director,canonical_Id,canonical_Phone,canonical_Center Director,canonical_Zip,canonical_IDHS Provider ID,canonical_Agency,canonical_Progmod,canonical_Eearly Head Start Fund,canonical_Director,canonical_CC fund,canonical_Number per Site HS,canonical_Program Name,canonical_Site name,canonical_Website,canonical_ECE Available Programs,canonical_Funded Enrollment,canonical_Column,canonical_Number per Site EHS,canonical_Email Address,canonical_NAEYC Valid Until,canonical_Purple binder service type,canonical_Ounce of Prevention Description,canonical_Program Option,canonical_Head Start Fund,canonical_Column2,canonical_Fax,canonical_Length of Day,canonical_Source,canonical_Neighborhood,canonical_Address,canonical_NAEYC Program Id
0,0.912465848029,0,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Temple / Salvation Army,1 N Ogden Ave ,,2262649,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'1',b'2262649',b'',b'60640',b'',b'',b'no',b'barbara martin',b'',b'no',b'',b'child care',b'salvation army - temple / salvation army',b'no',b'cp',b'salvation army',b'',b'',b'',b'',b'',b'',b'near west side',b'',b'',b'',b'half day/full day',b'cps_early_childhood_portal_scrape.csv',b'near west side',b'1 n ogden',b''
0,0.912465848029,1,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Temple / Salvation Army,1 N Ogden Ave ,,2262649,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'1',b'2262649',b'',b'60640',b'',b'',b'no',b'barbara martin',b'',b'no',b'',b'child care',b'salvation army - temple / salvation army',b'no',b'cp',b'salvation army',b'',b'',b'',b'',b'',b'',b'near west side',b'',b'',b'',b'half day/full day',b'cps_early_childhood_portal_scrape.csv',b'near west side',b'1 n ogden',b''
1,0.905627250671,2,CPS_Early_Childhood_Portal_scrape.csv, National Louis University - Dr. Effie O. Ellis Training Center,10 S Kedzie Ave ,,5339011,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'1227',b'5339011',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'state pre-kindergarten',b'national louis university - dr. effie o. ellis training center',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'half day/full day',b'cps_early_childhood_portal_scrape.csv',b'',b'10 s kedzie ave',b''
1,0.905627250671,3,CPS_Early_Childhood_Portal_scrape.csv, National Louis University - Dr. Effie O. Ellis Training Center,10 S Kedzie Ave ,,5339011,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'1227',b'5339011',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'state pre-kindergarten',b'national louis university - dr. effie o. ellis training center',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'half day/full day',b'cps_early_childhood_portal_scrape.csv',b'',b'10 s kedzie ave',b''
2,0.908679306507,4,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Olive-Harvey College,10001 S Woodlawn Ave ,,2916100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'7056ps(hs collaboration with childcare & prek)',b'5',b'2916100',b'www.ccc.edu',b'60628',b'',b'',b'no',b'tiffany carter',b'',b'yes',b'',b'child care',b'board trustees-city colleges of chicago - olive-harvey college',b'no',b'phyllis daniels-ward',b'board trustees-city colleges of chicago',b'',b'',b'',b'tiffany carter',b'',b'',b'pullman',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'10001 s woodlawn',b''
2,0.908679306507,5,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Olive-Harvey College,10001 S Woodlawn Ave ,,2916100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'7056ps(hs collaboration with childcare & prek)',b'5',b'2916100',b'www.ccc.edu',b'60628',b'',b'',b'no',b'tiffany carter',b'',b'yes',b'',b'child care',b'board trustees-city colleges of chicago - olive-harvey college',b'no',b'phyllis daniels-ward',b'board trustees-city colleges of chicago',b'',b'',b'',b'tiffany carter',b'',b'',b'pullman',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'10001 s woodlawn',b''
3,0.905081417825,6,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,"b'4249it(child care it center), 7012ps(hs collaboration with c'",b'6',b'9395115',b'www.easterseaslchicago.org',b'81559',b'',b'',b'yes',b'ms. adrienne hamilton',b'',b'yes',b'',b'state pre-kindergarten',b'easter seals society of metropolitan chicago - gilchrist-marchman',b'yes',b'barbara zawacki',b'easter seals society of metropolitan chicago',b'',b'',b'',b'morayma cancel',b'',b'',b'near west side',b'',b'',b'',b'half day/full day',b'cps_early_childhood_portal_scrape.csv',b'',b'1001 w roosevelt rd',b''
3,0.905081417825,7,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,"b'4249it(child care it center), 7012ps(hs collaboration with c'",b'6',b'9395115',b'www.easterseaslchicago.org',b'81559',b'',b'',b'yes',b'ms. adrienne hamilton',b'',b'yes',b'',b'state pre-kindergarten',b'easter seals society of metropolitan chicago - gilchrist-marchman',b'yes',b'barbara zawacki',b'easter seals society of metropolitan chicago',b'',b'',b'',b'morayma cancel',b'',b'',b'near west side',b'',b'',b'',b'half day/full day',b'cps_early_childhood_portal_scrape.csv',b'',b'1001 w roosevelt rd',b''
4,0.905627,8,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Uptown Head Start / Hull House,1020 W Bryn Mawr Ave ,,7695753,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'8',b'7695753',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'child care',b'hull house association - uptown head start / hull house',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'1020 w bryn mawr ave',b''
5,0.905627250671,9,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'478',b'9068600',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'child care',b'hull house association - child dev. central office- hull house cds-homes',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'1030 w van buren st',b''
5,0.905627250671,10,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'478',b'9068600',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'child care',b'hull house association - child dev. central office- hull house cds-homes',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'1030 w van buren st',b''
6,0.905627250671,11,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - St. Kevin,10509 S Torrence Ave ,,3746466,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'12',b'3746466',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'child care',b'catholic charities of the archdiocese of chicago - st. kevin',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'10509 s torrence ave',b''
6,0.905627250671,12,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - St. Kevin,10509 S Torrence Ave ,,3746466,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'12',b'3746466',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'child care',b'catholic charities of the archdiocese of chicago - st. kevin',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'10509 s torrence ave',b''
817,,13,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Community Learning Center,10612 S Wentworth ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.905627250671,14,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Cordia Marian,1100 S May St ,,6663787,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'1231',b'6663787',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'child care',b'catholic charities of the archdiocese of chicago - cordia marian',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'1100 s may st',b''
7,0.905627250671,15,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Cordia Marian,1100 S May St ,,6663787,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'1231',b'6663787',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'child care',b'catholic charities of the archdiocese of chicago - cordia marian',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'',b'1100 s may st',b''
8,0.917463004589,16,CPS_Early_Childhood_Portal_scrape.csv, Thresholds - Thresholds Mothers' Project,1110 W Belmont Ave ,,4723558,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,"b'2535it(child care it center), 2535ps(child care ps center),'",b'228',b'5373290',b'www.thresholds.org',b'60657',b'',b'',b'no',b'marshelia harris',b'',b'no',b'',b'child care',"b""thresholds thresholds mothers' project""",b'no',b'ayana kiklas',b'thresholds',b'',b'',b'',b'ayana kiklas',b'',b'',b'lake view',b'',b'child care',b'',b'extended day',b'cps_early_childhood_portal_scrape.csv',b'lake view',b'1110 w belmont',b''
9,0.905627250671,17,CPS_Early_Childhood_Portal_scrape.csv, Bethel New Life - Molade Child Development Center,1120 N Lamon Ave ,,6267760,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'1233',b'6267760',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'state pre-kindergarten',b'bethel new life - molade child development center',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'half day/full day',b'cps_early_childhood_portal_scrape.csv',b'',b'1120 n lamon ave',b''
10,0.905627250671,18,CPS_Early_Childhood_Portal_scrape.csv, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'18',b'9897433',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'state pre-kindergarten',b'south east asia center - south-east asia center(ainslie)',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'part day/full day',b'cps_early_childhood_portal_scrape.csv',b'',b'1124 w ainslie st',b''
