Cluster ID,confidence_score,Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2,canonical_Fax,canonical_Number per Site EHS,canonical_Head Start Fund,canonical_Program Name,canonical_Executive Director,canonical_Source,canonical_Center Director,canonical_Email Address,canonical_Progmod,canonical_Eearly Head Start Fund,canonical_Address,canonical_Number per Site HS,canonical_ECE Available Programs,canonical_Id,canonical_NAEYC Program Id,canonical_Program Option,canonical_Phone,canonical_Site name,canonical_Purple binder service type,canonical_Neighborhood,canonical_Funded Enrollment,canonical_Length of Day,canonical_Zip,canonical_Agency,canonical_CC fund,canonical_Column2,canonical_Column,canonical_Director,canonical_IDHS Provider ID,canonical_NAEYC Valid Until,canonical_Website,canonical_Ounce of Prevention Description
0,0.59065990895,0,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Temple / Salvation Army,1 N Ogden Ave ,,2262649,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'child care',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'no',b'barbara martin',b'1 n ogden',b'',b'cp',b'1',b'',b'near west side',b'2262649',b'salvation army - temple / salvation army',b'',b'near west side',b'salvation army',b'half day/full day',b'60640',b'',b'no',b'',b'',b'',b'',b'',b'no',b''
0,0.59065990895,1,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Temple / Salvation Army,1 N Ogden Ave ,,2262649,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'child care',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'no',b'barbara martin',b'1 n ogden',b'',b'cp',b'1',b'',b'near west side',b'2262649',b'salvation army - temple / salvation army',b'',b'near west side',b'salvation army',b'half day/full day',b'60640',b'',b'no',b'',b'',b'',b'',b'',b'no',b''
1,0.618821382523,2,CPS_Early_Childhood_Portal_scrape.csv, National Louis University - Dr. Effie O. Ellis Training Center,10 S Kedzie Ave ,,5339011,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'state pre-kindergarten',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'',b'',b'10 s kedzie ave',b'',b'',b'1227',b'',b'',b'5339011',b'national louis university - dr. effie o. ellis training center',b'',b'',b'',b'half day/full day',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
1,0.618821382523,3,CPS_Early_Childhood_Portal_scrape.csv, National Louis University - Dr. Effie O. Ellis Training Center,10 S Kedzie Ave ,,5339011,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'state pre-kindergarten',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'',b'',b'10 s kedzie ave',b'',b'',b'1227',b'',b'',b'5339011',b'national louis university - dr. effie o. ellis training center',b'',b'',b'',b'half day/full day',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
2,0.609267699718,4,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Olive-Harvey College,10001 S Woodlawn Ave ,,2916100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'child care',b'7056ps(hs collaboration with childcare & prek)',b'cps_early_childhood_portal_scrape.csv',b'www.ccc.edu',b'',b'no',b'tiffany carter',b'10001 s woodlawn',b'',b'phyllis daniels-ward',b'5',b'',b'pullman',b'2916100',b'board trustees-city colleges of chicago - olive-harvey college',b'',b'',b'board trustees-city colleges of chicago',b'extended day',b'60628',b'',b'yes',b'',b'',b'',b'',b'tiffany carter',b'no',b''
2,0.609267699718,5,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Olive-Harvey College,10001 S Woodlawn Ave ,,2916100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'child care',b'7056ps(hs collaboration with childcare & prek)',b'cps_early_childhood_portal_scrape.csv',b'www.ccc.edu',b'',b'no',b'tiffany carter',b'10001 s woodlawn',b'',b'phyllis daniels-ward',b'5',b'',b'pullman',b'2916100',b'board trustees-city colleges of chicago - olive-harvey college',b'',b'',b'board trustees-city colleges of chicago',b'extended day',b'60628',b'',b'yes',b'',b'',b'',b'',b'tiffany carter',b'no',b''
3,0.603678840399,6,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'state pre-kindergarten',b'',b'cps_early_childhood_portal_scrape.csv',b'www.easterseaslchicago.org',b'',b'no',b'ms. veal',b'1001 w roosevelt rd',b'',b'barbara zawacki',b'7',b'',b'east garfield park',b'9395115',b'easter seals society of metropolitan chicago - gilchrist-marchman',b'',b'',b'easter seals society of metropolitan chicago',b'half day/full day',b'60624',b'',b'yes',b'',b'',b'',b'',b'ms.bettie veal',b'no',b''
3,0.603678840399,7,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'state pre-kindergarten',b'',b'cps_early_childhood_portal_scrape.csv',b'www.easterseaslchicago.org',b'',b'no',b'ms. veal',b'1001 w roosevelt rd',b'',b'barbara zawacki',b'7',b'',b'east garfield park',b'9395115',b'easter seals society of metropolitan chicago - gilchrist-marchman',b'',b'',b'easter seals society of metropolitan chicago',b'half day/full day',b'60624',b'',b'yes',b'',b'',b'',b'',b'ms.bettie veal',b'no',b''
4,0.618821,8,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Uptown Head Start / Hull House,1020 W Bryn Mawr Ave ,,7695753,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'child care',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'',b'',b'1020 w bryn mawr ave',b'',b'',b'8',b'',b'',b'7695753',b'hull house association - uptown head start / hull house',b'',b'',b'',b'extended day',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
5,0.618821382523,9,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'',b'child care',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'',b'',b'1030 w van buren st',b'',b'',b'478',b'',b'',b'9068600',b'hull house association - child dev. central office- hull house cds-homes',b'',b'',b'',b'extended day',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
