Cluster ID,confidence_score,Id,Name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2,canonical_Progmod,canonical_Phone,canonical_Center Director,canonical_Name,canonical_Number per Site EHS,canonical_Address,canonical_Agency,canonical_Column,canonical_IDHS Provider ID,canonical_Fax,canonical_Neighborhood,canonical_Email Address,canonical_Ounce of Prevention Description,canonical_Eearly Head Start Fund,canonical_Program Option,canonical_NAEYC Valid Until,canonical_ECE Available Programs,canonical_Id,canonical_NAEYC Program Id,canonical_Website,canonical_CC fund,canonical_Number per Site HS,canonical_Column2,canonical_Head Start Fund,canonical_Funded Enrollment,canonical_Zip,canonical_Length of Day,canonical_Purple binder service type,canonical_Director,canonical_Executive Director,canonical_Program Name
0,0.999847263098,0,Salvation Army - Temple / Salvation Army,1 N Ogden Ave,,2262649,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'2262649',b'',b'salvation army - temple / salvation army',b'',b'1 n ogden ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'510',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
0,0.999847263098,1,Salvation Army - Temple / Salvation Army,1 N Ogden Ave,,2262649,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'2262649',b'',b'salvation army - temple / salvation army',b'',b'1 n ogden ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'510',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
1,0.999448135495,2,National Louis University - Dr. Effie O. Ellis Training Center,10 S Kedzie Ave,,5339011,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'5339011',b'',b'national louis university - dr. effie o. ellis training center',b'',b'10 s kedzie ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'216',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
1,0.999448135495,3,National Louis University - Dr. Effie O. Ellis Training Center,10 S Kedzie Ave,,5339011,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'5339011',b'',b'national louis university - dr. effie o. ellis training center',b'',b'10 s kedzie ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'216',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
3,0.999980866909,4,Board Trustees-City Colleges of Chicago - Olive-Harvey College,10001 S Woodlawn Ave,,2916100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'2916100',b'',b'board trustees-city colleges of chicago - olive-harvey college',b'',b'10001 s woodlawn ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'513',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
3,0.999980866909,5,Board Trustees-City Colleges of Chicago - Olive-Harvey College,10001 S Woodlawn Ave,,2916100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'2916100',b'',b'board trustees-city colleges of chicago - olive-harvey college',b'',b'10001 s woodlawn ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'513',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
4,0.999980866909,6,Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd,,9395115,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'9395115',b'',b'easter seals society of metropolitan chicago - gilchrist-marchman',b'',b'1001 w roosevelt rd',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'515',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
4,0.999980866909,7,Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd,,9395115,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'9395115',b'',b'easter seals society of metropolitan chicago - gilchrist-marchman',b'',b'1001 w roosevelt rd',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'515',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
5,0.999981,8,Hull House Association - Uptown Head Start / Hull House,1020 W Bryn Mawr Ave,,7695753,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'7695753',b'',b'hull house association - uptown head start / hull house',b'',b'1020 w bryn mawr ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'8',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
6,0.999980866909,9,Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St,,9068600,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'9068600',b'',b'hull house association - child dev. central office- hull house cds-homes',b'',b'1030 w van buren st',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'478',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
6,0.999980866909,10,Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St,,9068600,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'9068600',b'',b'hull house association - child dev. central office- hull house cds-homes',b'',b'1030 w van buren st',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'478',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
7,0.999980866909,11,Catholic Charities of the Archdiocese of Chicago - St. Kevin,10509 S Torrence Ave,,3746466,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'3746466',b'',b'catholic charities of the archdiocese of chicago - st. kevin',b'',b'10509 s torrence ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
7,0.999980866909,12,Catholic Charities of the Archdiocese of Chicago - St. Kevin,10509 S Torrence Ave,,3746466,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'3746466',b'',b'catholic charities of the archdiocese of chicago - st. kevin',b'',b'10509 s torrence ave',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
94,,13,Chicago State University - Community Learning Center,10612 S Wentworth,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.999981,14,Catholic Charities of the Archdiocese of Chicago - Cordia Marian,1100 S May St,,6663787,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'6663787',b'',b'catholic charities of the archdiocese of chicago - cordia marian',b'',b'1100 s may st',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
8,0.999981,15,Catholic Charities of the Archdiocese of Chicago - Cordia Marian,1100 S May St,,6663787,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'6663787',b'',b'catholic charities of the archdiocese of chicago - cordia marian',b'',b'1100 s may st',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14',b'',b'',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b'',b'child care'
95,,16,Thresholds - Thresholds Mothers' Project,1110 W Belmont Ave,,4723558,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
